Data, Rodada  ,Mandante,Gols_mandante,x,Gols_visitante,Visitante,Estadio,Cidade
08/08/2020,1,Fortaleza,0,X,2,Athletico/PR,Castelao,Fortaleza
08/08/2020,1,Coritiba,0,X,1,Internacional,Couto Pereira,Curitiba
08/08/2020,1,Sport,3,X,2,Ceara,Ilha do Retiro,Recife
09/08/2020,1,Flamengo,0,X,1,Atletico/MG,Maracana,Rio de Janeiro
09/08/2020,1,Santos,1,X,1,RB Bragantino,Vila Belmiro,Santos
09/08/2020,1,Gremio,1,X,0,Fluminense,Arena do Gremio,Porto Alegre
12/08/2020,2,Athletico/PR,2,X,1,Goias,Arena da Baixada,Curitiba
12/08/2020,2,Atletico/MG,3,X,2,Corinthians,Mineirao,Belo Horizonte
12/08/2020,2,RB Bragantino,1,X,1,Botafogo,Nabi Abi Chedid,Braganca Paulista
12/08/2020,2,Atletico/GO,3,X,0,Flamengo,Olimpico,Goiania
12/08/2020,2,Bahia,1,X,0,Coritiba,Pituacu,Salvador
12/08/2020,2,Ceara,1,X,1,Gremio,Castelao,Fortaleza
12/08/2020,2,Fluminense,1,X,1,Palmeiras,Maracana,Rio de Janeiro
13/08/2020,2,Sao Paulo,1,X,0,Fortaleza,Morumbi,Sao Paulo
13/08/2020,2,Internacional,2,X,0,Santos,Beira-Rio,Porto Alegre
13/08/2020,2,Vasco,2,X,0,Sport,Sao Januario,Rio de Janeiro
15/08/2020,3,Gremio,0,X,0,Corinthians,Arena do Gremio,Porto Alegre
15/08/2020,3,Coritiba,0,X,1,Flamengo,Couto Pereira,Curitiba
15/08/2020,3,Palmeiras,1,X,1,Goias,Allianz Parque,Sao Paulo
16/08/2020,3,Atletico/MG,2,X,0,Ceara,Mineirao,Belo Horizonte
16/08/2020,3,Bahia,2,X,1,RB Bragantino,Pituacu,Salvador
16/08/2020,3,Vasco,2,X,1,Sao Paulo,Sao Januario,Rio de Janeiro
16/08/2020,3,Fluminense,2,X,1,Internacional,Maracana,Rio de Janeiro
16/08/2020,3,Atletico/GO,1,X,1,Sport,Olimpico,Goiania
16/08/2020,3,Fortaleza,0,X,0,Botafogo,Castelao,Fortaleza
16/08/2020,3,Santos,3,X,1,Athletico/PR,Vila Belmiro,Santos
19/08/2020,4,Athletico/PR,0,X,1,Palmeiras,Arena da Baixada,Curitiba
19/08/2020,4,Botafogo,2,X,1,Atletico/MG,Nilton Santos,Rio de Janeiro
20/08/2020,4,Ceara,0,X,3,Vasco,Castelao,Fortaleza
19/08/2020,4,Corinthians,3,X,1,Coritiba,Itaquerao,Sao Paulo
19/08/2020,4,Flamengo,1,X,1,Gremio,Maracana,Rio de Janeiro
19/08/2020,4,Goias,1,X,3,Fortaleza,Serra Dourada,Goiania
19/08/2020,4,Internacional,3,X,0,Atletico/GO,Beira-Rio,Porto Alegre
19/08/2020,4,RB Bragantino,2,X,1,Fluminense,Nabi Abi Chedid,Braganca Paulista
20/08/2020,4,Sao Paulo,1,X,1,Bahia,Morumbi,Sao Paulo
20/08/2020,4,Sport,0,X,1,Santos,Ilha do Retiro,Recife
22/08/2020,5,Athletico/PR,0,X,1,Fluminense,Arena da Baixada,Curitiba
23/08/2020,5,Ceara,2,X,0,Bahia,Castelao,Fortaleza
23/08/2020,5,Flamengo,1,X,1,Botafogo,Maracana,Rio de Janeiro
22/08/2020,5,Goias,2,X,0,Atletico/GO,Serra Dourada,Goiania
23/08/2020,5,Internacional,1,X,0,Atletico/MG,Beira-Rio,Porto Alegre
23/08/2020,5,Palmeiras,2,X,1,Santos,Allianz Parque,Sao Paulo
23/08/2020,5,RB Bragantino,1,X,2,Coritiba,Nabi Abi Chedid,Braganca Paulista
23/08/2020,5,Sport,0,X,1,Sao Paulo,Ilha do Retiro,Recife
23/08/2020,5,Vasco,0,X,0,Gremio,Sao Januario,Rio de Janeiro
26/08/2020,11,Sao Paulo,1,X,0,Athletico/PR,Morumbi,Sao Paulo
26/08/2020,5,Corinthians,1,X,1,Fortaleza,Itaquerao,Sao Paulo
30/08/2020,6,Atletico/GO,0,X,2,Ceara,Serra Dourada,Goiania
29/08/2020,6,Bahia,1,X,1,Palmeiras,Fonte Nova,Salvador
29/08/2020,6,Botafogo,0,X,2,Internacional,Nilton Santos,Rio de Janeiro
30/08/2020,6,Coritiba,1,X,0,Sport,Couto Pereira,Curitiba
29/08/2020,6,Fluminense,2,X,1,Vasco,Maracana,Rio de Janeiro
29/08/2020,6,Fortaleza,3,X,0,RB Bragantino,Castelao,Fortaleza
30/08/2020,6,Santos,0,X,1,Flamengo,Vila Belmiro,Santos
30/08/2020,6,Sao Paulo,2,X,1,Corinthians,Morumbi,Sao Paulo
02/09/2020,7,Athletico/PR,1,X,1,RB Bragantino,Arena da Baixada,Curitiba
03/09/2020,7,Atletico/MG,3,X,0,Sao Paulo,Independencia,Belo Horizonte
02/09/2020,7,Bahia,3,X,5,Flamengo,Fonte Nova,Salvador
02/09/2020,7,Botafogo,0,X,0,Coritiba,Nilton Santos,Rio de Janeiro
02/09/2020,7,Ceara,1,X,0,Fortaleza,Castelao,Fortaleza
02/09/2020,7,Fluminense,1,X,1,Atletico/GO,Maracana,Rio de Janeiro
02/09/2020,7,Goias,1,X,2,Corinthians,Serra Dourada,Goiania
03/09/2020,7,Gremio,1,X,2,Sport,Arena do Gremio,Porto Alegre
02/09/2020,7,Palmeiras,1,X,1,Internacional,Allianz Parque,Sao Paulo
02/09/2020,7,Santos,2,X,2,Vasco,Vila Belmiro,Santos
06/09/2020,8,Atletico/GO,1,X,1,Gremio,Serra Dourada,Goiania
05/09/2020,8,Ceara,0,X,1,Santos,Castelao,Fortaleza
05/09/2020,8,Corinthians,2,X,2,Botafogo,Itaquerao,Sao Paulo
06/09/2020,8,Coritiba,0,X,1,Atletico/MG,Couto Pereira,Curitiba
05/09/2020,8,Flamengo,2,X,1,Fortaleza,Maracana,Rio de Janeiro
06/09/2020,8,Internacional,2,X,2,Bahia,Beira-Rio,Porto Alegre
06/09/2020,8,RB Bragantino,1,X,2,Palmeiras,Nabi Abi Chedid,Braganca Paulista
06/09/2020,8,Sao Paulo,3,X,1,Fluminense,Morumbi,Sao Paulo
06/09/2020,8,Sport,2,X,1,Goias,Ilha do Retiro,Recife
06/09/2020,8,Vasco,1,X,0,Athletico/PR,Sao Januario,Rio de Janeiro
09/09/2020,9,Athletico/PR,1,X,1,Botafogo,Arena da Baixada,Curitiba
10/09/2020,9,Bahia,0,X,2,Gremio,Fonte Nova,Salvador
10/09/2020,9,Corinthians,0,X,2,Palmeiras,Itaquerao,Sao Paulo
09/09/2020,9,Fluminense,1,X,2,Flamengo,Maracana,Rio de Janeiro
09/09/2020,9,Fortaleza,1,X,0,Sport,Castelao,Fortaleza
09/09/2020,9,Goias,3,X,3,Coritiba,Serra Dourada,Goiania
10/09/2020,9,Internacional,2,X,0,Ceara,Beira-Rio,Porto Alegre
09/09/2020,9,Santos,3,X,1,Atletico/MG,Vila Belmiro,Santos
09/09/2020,9,Sao Paulo,1,X,1,RB Bragantino,Morumbi,Sao Paulo
10/09/2020,9,Vasco,1,X,2,Atletico/GO,Sao Januario,Rio de Janeiro
12/09/2020,10,Athletico/PR,1,X,0,Coritiba,Arena da Baixada,Curitiba
13/09/2020,10,Atletico/MG,2,X,1,RB Bragantino,Independencia,Belo Horizonte
13/09/2020,10,Bahia,0,X,1,Atletico/GO,Fonte Nova,Salvador
13/09/2020,10,Botafogo,2,X,3,Vasco,Nilton Santos,Rio de Janeiro
13/09/2020,10,Ceara,2,X,0,Flamengo,Castelao,Fortaleza
13/09/2020,10,Fluminense,2,X,1,Corinthians,Maracana,Rio de Janeiro
13/09/2020,10,Goias,1,X,0,Internacional,Serra Dourada,Goiania
13/09/2020,10,Gremio,1,X,2,Fortaleza,Arena do Gremio,Porto Alegre
13/09/2020,10,Palmeiras,2,X,2,Sport,Allianz Parque,Sao Paulo
12/09/2020,10,Santos,2,X,2,Sao Paulo,Vila Belmiro,Santos
19/09/2020,11,Atletico/GO,3,X,4,Atletico/MG,Serra Dourada,Goiania
20/09/2020,11,Botafogo,0,X,0,Santos,Nilton Santos,Rio de Janeiro
16/09/2020,11,Corinthians,3,X,2,Bahia,Itaquerao,Sao Paulo
20/09/2020,11,Coritiba,1,X,0,Vasco,Couto Pereira,Curitiba
19/09/2020,11,Fortaleza,1,X,0,Internacional,Castelao,Fortaleza
20/09/2020,11,Gremio,1,X,1,Palmeiras,Arena do Gremio,Porto Alegre
19/09/2020,11,RB Bragantino,4,X,2,Ceara,Nabi Abi Chedid,Braganca Paulista
20/09/2020,11,Sport,1,X,0,Fluminense,Ilha do Retiro,Recife
26/09/2020,12,Athletico/PR,1,X,0,Bahia,Arena da Baixada,Curitiba
26/09/2020,12,Atletico/GO,1,X,1,Botafogo,Serra Dourada,Goiania
26/09/2020,12,Atletico/MG,3,X,1,Gremio,Independencia,Belo Horizonte
27/09/2020,12,Ceara,2,X,2,Goias,Castelao,Fortaleza
26/09/2020,12,Fluminense,4,X,0,Coritiba,Maracana,Rio de Janeiro
26/09/2020,12,Internacional,1,X,1,Sao Paulo,Beira-Rio,Porto Alegre
27/09/2020,12,Palmeiras,1,X,1,Flamengo,Allianz Parque,Sao Paulo
26/09/2020,12,Santos,1,X,1,Fortaleza,Vila Belmiro,Santos
26/09/2020,12,Sport,1,X,0,Corinthians,Ilha do Retiro,Recife
27/09/2020,12,Vasco,1,X,1,RB Bragantino,Sao Januario,Rio de Janeiro
30/09/2020,1,Corinthians,0,X,1,Atletico/GO,Itaquerao,Sao Paulo
30/09/2020,1,Botafogo,1,X,2,Bahia,Serra Dourada,Goiania
